N°,Site,Longitude,Latitude,Altitude,Ic,Classe_Ic
2911,Tumbwe,27.39469242,-11.47854612,1342.85,1.03,Dur
2912,Tumbwe,27.38368798,-11.47855764,1326.591,27.39,Dur
2913,Tumbwe,27.39231306,-11.47853769,1338.229,1.54,Dur
2914,Tumbwe,27.39231169,-11.47853401,1338.169,1.08,Dur
2915,Tumbwe,27.39816062,-11.47852282,1352.29,1.36,Dur
2916,Tumbwe,27.38303369,-11.4785428,1325.065,1.19,Dur
2917,Tumbwe,27.39814708,-11.47851654,1352.295,1.47,Dur
2918,Tumbwe,27.39174489,-11.47852259,1337.774,1.96,Dur
2919,Tumbwe,27.3827981,-11.47853264,1329.235,0.72,Terne
2920,Tumbwe,27.39236595,-11.47851541,1338.374,0.65,Terne
2921,Tumbwe,27.3923663,-11.4785132,1338.283,1.03,Dur
2922,Tumbwe,27.38544857,-11.47851684,1329.816,0.56,Terne
2923,Tumbwe,27.39235152,-11.47850207,1338.096,1.12,Dur
2924,Tumbwe,27.3822914,-11.47850971,1329.276,3.86,Dur
2925,Tumbwe,27.39177106,-11.47849252,1337.789,1.19,Dur
2926,Tumbwe,27.39815144,-11.47848343,1352.562,0.76,Mi-dur
2927,Tumbwe,27.39177087,-11.47849157,1337.795,1.19,Dur
2928,Tumbwe,27.38304876,-11.47850006,1325.148,1.78,Dur
2929,Tumbwe,27.38840591,-11.47848752,1335.57,1.77,Dur
2930,Tumbwe,27.38832246,-11.47848494,1336.916,45.19,Dur
2931,Tumbwe,27.39238548,-11.47847741,1338.255,-0.79,Liquide
2932,Tumbwe,27.39816236,-11.47846357,1352.334,1.38,Dur
2933,Tumbwe,27.38313271,-11.4784817,1325.387,3.22,Dur
2934,Tumbwe,27.39237636,-11.47846856,1338.157,1.35,Dur
2935,Tumbwe,27.39843225,-11.47845694,1352.636,1.66,Dur
2936,Tumbwe,27.39237441,-11.47845858,1338.182,1.03,Dur
2937,Tumbwe,27.39166064,-11.47845665,1337.7,2.03,Dur
2938,Tumbwe,27.39839353,-11.47844443,1352.608,0.77,Mi-dur
2939,Tumbwe,27.39316482,-11.47845034,1344.448,1.05,Dur
2940,Tumbwe,27.39835347,-11.47843211,1352.57,0.67,Terne
2941,Tumbwe,27.39488472,-11.47843437,1345.2,1.03,Dur
2942,Tumbwe,27.39817519,-11.47842917,1352.401,27.39,Dur
2943,Tumbwe,27.38306789,-11.47844308,1325.027,1.54,Dur
2944,Tumbwe,27.39243774,-11.47842917,1338.808,1.08,Dur
2945,Tumbwe,27.39050423,-11.47843099,1339.415,1.36,Dur
2946,Tumbwe,27.39831716,-11.47841959,1352.739,1.19,Dur
2947,Tumbwe,27.39243161,-11.47842564,1338.734,1.47,Dur
2948,Tumbwe,27.39242163,-11.47842034,1338.388,1.96,Dur
2949,Tumbwe,27.39829169,-11.47841133,1352.54,0.72,Terne
2950,Tumbwe,27.39168757,-11.47841921,1337.854,0.65,Terne
2951,Tumbwe,27.3982089,-11.47840784,1352.454,1.03,Dur
2952,Tumbwe,27.39221247,-11.47841423,1338.047,0.56,Terne
2953,Tumbwe,27.39823274,-11.47840297,1352.346,1.12,Dur
2954,Tumbwe,27.39825552,-11.47840124,1352.739,3.86,Dur
2955,Tumbwe,27.39245447,-11.47840196,1338.451,1.19,Dur
2956,Tumbwe,27.39157399,-11.47838529,1337.682,0.76,Mi-dur
2957,Tumbwe,27.39244884,-11.47838012,1338.49,1.19,Dur
2958,Tumbwe,27.38612016,-11.47838789,1331.84,1.78,Dur
2959,Tumbwe,27.39250869,-11.47837243,1338.546,1.77,Dur
2960,Tumbwe,27.38502172,-11.47837858,1328.862,45.19,Dur
2961,Tumbwe,27.39851419,-11.47835834,1353.026,-0.79,Liquide
2962,Tumbwe,27.39851508,-11.47835742,1353.025,1.38,Dur
2963,Tumbwe,27.38316982,-11.47837538,1325.403,3.22,Dur
2964,Tumbwe,27.39397078,-11.47836029,1342.658,1.35,Dur
2965,Tumbwe,27.39162359,-11.47836307,1337.681,1.66,Dur
2966,Tumbwe,27.39851922,-11.47834638,1353.008,1.03,Dur
2967,Tumbwe,27.39249148,-11.47835359,1338.481,2.03,Dur
2968,Tumbwe,27.39150737,-11.47833667,1337.681,0.77,Mi-dur
2969,Tumbwe,27.39253842,-11.47832935,1338.475,1.05,Dur
2970,Tumbwe,27.39853476,-11.47831421,1353.102,0.67,Terne
2971,Tumbwe,27.39825372,-11.47831396,1352.648,1.03,Dur
2972,Tumbwe,27.39252547,-11.47831276,1338.595,27.39,Dur
2973,Tumbwe,27.38311031,-11.47832272,1324.884,1.54,Dur
2974,Tumbwe,27.39252896,-11.47830575,1338.43,1.08,Dur
2975,Tumbwe,27.3964755,-11.47829527,1342.678,1.36,Dur
2976,Tumbwe,27.39818772,-11.47829274,1352.114,1.19,Dur
2977,Tumbwe,27.39154021,-11.4782989,1337.639,1.47,Dur
2978,Tumbwe,27.39258735,-11.47829625,1338.461,1.96,Dur
